Fund_Type,Fund_Manager,DBPedia_Fund_Manager,DBPediaURI_Fund_Manager,DBPediaData_Fund_Manager,Fund_Name,Fund_Contact,Fund_Contact_Telephone,Fund_Projected_Equity,Fund_Equity_Raised,Fund_Equity_Invested,Fund_Target_IRR,Fund_Minimum_IRR,Fund_Asset_Classes,Fund_Target_Locations,Fund_Data_Date,Fund_Data_Year,Fund_Currency
Core,Brookfield Asset Management,Brookfield Asset Management,http://live.dbpedia.org/resource/Brookfield_Asset_Management,http://live.dbpedia.org/data/Brookfield_Asset_Management.json,Brookfield Core-Plus Office Fund,Scott White,212-417-2578,"1,000,000,000",0,0,10-13,0.10,Office,United States,1/11/12,2012,
Core,Buchanan Street Partners,,,,TCW/Buchanan Fund 6,Tim Ballard,949-219-1584,"600,000,000","75,000,000","25,000,000",12,0.12,"Office, Retail, Multifamily, Niche",United States,3/1/13,2013,USD
Core,Buchanan Street Partners,,,,Buchanan Fund 5,Tim Ballard,949-219-1584,"414,000,000","414,000,000","270,000,000",12,0.12,"Office, Multifamily",United States,1/11/12,2012,
Core,Buchanan Street Partners,,,,TCW/Buchanan Fund 6,Tim Ballard,949-219-1584,"600,000,000","75,000,000","25,000,000",,,Office,United States,1/11/12,2012,
Core,Buchanan Street Partners,,,,TCW/Buchanan Fund 6,Tim Ballard,949-219-1584,"600,000,000","75,000,000","25,000,000",12,0.12,Office,United States,1/11/12,2012,
Core,CB Richard Ellis Group,CB Richard Ellis Group,http://live.dbpedia.org/resource/CB_Richard_Ellis_Group,http://live.dbpedia.org/data/CB_Richard_Ellis_Group.json,CBRE European Shopping Center Fund,Will Rowson,31-20-202-2300,"974,000,000","296,000,000",0,11,0.11,Retail,Europe,3/1/13,2013,EU
Core,CMDL Managing GP,,,,CapRocq Core Real Estate Fund,Dewitt Smith,501-372-6161,"50,000,000","17,000,000","10,000,000",8-12,0.08,"Office, Retail",Southeastern United States,3/1/13,2013,USD
Core,Colony Capital,Colony Capital,http://live.dbpedia.org/resource/Colony_Capital,http://live.dbpedia.org/data/Colony_Capital.json,Colony Realty Partners 4,Scott Freeman,617-235-6363,"500,000,000",,,10-13,0.10,Office,United States,1/11/12,2012,
Core,Colony Realty Partners,,,,Colony Realty Partners 4,Scott Freeman,617-235-6363,"500,000,000","225,000,000",0,10,0.10,"Office, Industrial, Retail, Multifamily",United States,3/1/13,2013,USD
Core,Composition Capital,,,,Composition Capital Europe Sustainable Income Fund,Maarten Vermeulen,31-20-570-8187,"325,000,000",0,0,10-12,0.10,"Net Lease, Preferred Equity, Office, Lodging, Retail, Industrial, Multifamily, Niche",Europe,3/1/13,2013,EU
Core,Composition Capital,,,,Composition Capital Europe Sustainable Income Fund,Morag Beers,31-20-570-8186,"332,775,000",0,0,10-12,0.10,Other,Europe,1/11/12,2012,
Core,Crow Holdings,Crow Holdings,http://live.dbpedia.org/resource/Crow_Holdings,http://live.dbpedia.org/data/Crow_Holdings.json,Crow Holdings Realty Partners 6,Bob McClain,214-661-8136,"750,000,000","604,000,000",0,12,0.12,"Office, Lodging, Industrial, Multifamily, Debt, Niche, Land",United States,3/1/13,2013,USD
Core,Crow Holdings,Crow Holdings,http://live.dbpedia.org/resource/Crow_Holdings,http://live.dbpedia.org/data/Crow_Holdings.json,Crow Holdings Realty Partners 6,Bob McClain,214-661-8136,"750,000,000",0,0,12,0.12,Office,United States,1/11/12,2012,
Core,Crow Holdings,Crow Holdings,http://live.dbpedia.org/resource/Crow_Holdings,http://live.dbpedia.org/data/Crow_Holdings.json,Crow Holdings Realty Partners 6,Bob McClain,214-661-8136,"950,000,000","950,000,000","266,000,000",12,0.12,Office,United States,1/11/12,2012,
Core,Easterly Partners,,,,U.S. Government Properties Income & Growth Fund,Bill Trimble,202-741-8400,"250,000,000","26,000,000",0,10-12,0.10,Government Office,United States,3/1/13,2013,USD
Core,Easterly Partners,,,,U.S. Government Properties Income & Growth Fund,Bill Trimble,202-741-8400,"105,000,000","105,000,000","80,000,000",,,Office,United States,1/11/12,2012,
Core,"Hayden Real Estate, Miller Investment",,,,MIM-Hayden Real Estate Fund 1,Radcliffe Hastings,610-834-9820,"108,000,000","108,000,000",0,10,0.10,"Distressed, Office, Industrial","Eastern United States, Philadelphia",3/1/13,2013,USD
Core,"Hayden Real Estate, Miller Investment",,,,MIM-Hayden Real Estate Fund 1,Radcliffe Hastings,610-834-9820,"108,000,000","108,000,000",0,10,0.10,"Distressed, Office, Industrial","Philadelphia, Boston, Philadelphia",1/11/12,2012,
Core,Hunt Investment Management,,,,Hunt Value Add Fund 4,Ed Oprindick,610-729-0039,"300,000,000",0,0,12,0.12,"Multifamily, Retail",United States,3/1/13,2013,USD
Core,Niam AB,,,,Niam Nordic Core-Plus Fund,Fredrik Jonsson,46-70-844-3023,"390,000,000","234,000,000",0,10-12,0.10,"Office, Multifamily, Retail",Scandinavia,3/1/13,2013,EU
Core,Niam AB,,,,Niam Nordic Core-Plus Fund,Fredrik Jonsson,46-70-844-3023,"399,330,000",0,0,10-12,0.10,Office,Europe,1/11/12,2012,
Core,Niam AB,,,,Niam Nordic Core-Plus Fund,Fredrik Jonsson,46-70-844-3023,"413,310,000",,,10-12,0.10,Office,United States,1/11/12,2012,
Core,Northlight Financial,,,,Northlight Net Lease Fund,Chris Jahrmarkt,212-247-3330,"125,000,000",0,0,10-14,0.10,"Office, Lodging, Industrial, Multifamily, Debt, Niche, Land",United States,3/1/13,2013,USD
Core,Paradigm Capital,,,,Paradigm Industrial Partners 2,Steve Allison,617-933-8260,"75,000,000","10,000,000",0,10,0.10,Industrial,United States,3/1/13,2013,USD
Core,Paramount Group,,,,Paramount Group Real Estate Fund 7,Dan Lauer,212-237-3109,"1,000,000,000","300,000,000",0,11-12,0.11,Office,United States,3/1/13,2013,USD
Core,Paramount Group,,,,Paramount Group Real Estate Fund 7,Dan Lauer,212-237-3109,"1,000,000,000",,,11-12,0.11,Office,United States,1/11/12,2012,
Core,Paramount Group,,,,Paramount Group Real Estate Fund 7,Dan Lauer,212-237-3109,"1,000,000,000",0,0,11-12,0.11,Office,Eastern United States,1/11/12,2012,
Core,Potomac Capital,,,,"Potomac Capital, Unnamed Vehicle",Jim Powers,301-961-9096,"50,000,000",0,0,12,0.12,"Office, Retail, Multifamily, Niche","Washington D.C., Maryland, Northern Virginia",3/1/13,2013,USD
Core,Potomac Capital,,,,"Potomac Capital, Unnamed Vehicle",Jim Powers,301-961-9096,"50,000,000",0,0,,,Office,"Washington D.C., Maryland, Northern Virginia",1/11/12,2012,
Core,Potomac Capital,,,,Washington Capital Fund,Jim Powers,301-961-9096,"50,000,000","25,000,000","12,500,000",12,0.12,Office,United States,1/11/12,2012,
Core,Prudential Real Estate,Prudential Real Estate,http://live.dbpedia.org/resource/Prudential_Real_Estate,http://live.dbpedia.org/data/Prudential_Real_Estate.json,Senior Housing Partners 4,Gary Kaufmann,973-734-1300,"568,000,000","568,000,000","193,000,000",10,0.10,Senior Housing,"United States, Canada",3/1/13,2013,USD
Core,Prudential Real Estate,Prudential Real Estate,http://live.dbpedia.org/resource/Prudential_Real_Estate,http://live.dbpedia.org/data/Prudential_Real_Estate.json,Senior Housing Partners 4,Gary Kaufmann,973-734-1300,"600,000,000",,,12,0.12,Senior Housing,"United States, Asia, United States, International",1/11/12,2012,
Core,Prudential Real Estate,Prudential Real Estate,http://live.dbpedia.org/resource/Prudential_Real_Estate,http://live.dbpedia.org/data/Prudential_Real_Estate.json,Senior Housing Partners 4,Gary Kaufmann,973-734-1300,"600,000,000",0,0,,,Senior Housing,United States,1/11/12,2012,
Core,Rockspring Capital,,,,Rockspring TransEuropean Fund 5,Paul Hampton,44-207-761-3333,"459,000,000","459,000,000","117,000,000",11,0.11,"Office, Lodging, Industrial, Multifamily, Debt, Niche, Land",Europe,3/1/13,2013,EU
Core,TA Associates,TA Associates,http://live.dbpedia.org/resource/Category:TA_Associates,http://live.dbpedia.org/data/Category:TA_Associates.json,Realty Associates Fund 10,Tom Landry,617-476-2740,"1,575,000,000","1,575,000,000",0,12,0.12,"Office, Industrial, Retail, Multifamily",United States,3/1/13,2013,USD
Core,Thackeray Partners,,,,Thackeray Partners Realty Fund 3,Tony Dona,214-360-7833,"227,000,000","227,000,000","46,000,000",10,0.10,"Multifamily, Industrial, Retail",United States,3/1/13,2013,USD
Core,Thackeray Partners,,,,Thackeray Partners Realty Fund 3,Tony Dona,214-360-7833,"225,000,000","225,000,000",0,10-13,0.10,Multifamily,United States,1/11/12,2012,
Core,Thackeray Partners,,,,Thackeray Partners Realty Fund 2,Tony Dona,214-360-7833,"295,000,000","295,000,000","200,000,000",10-13,0.10,Office,United States,1/11/12,2012,
Core,Trade Street Capital,,,,Trade Street Capital Property Fund 1,Ryan Hanks,704-998-8646,"110,000,000","110,000,000","62,000,000",12,0.12,"Office, Lodging, Industrial, Multifamily, Debt, Niche, Land",Southwestern United States,3/1/13,2013,USD
Core,Trade Street Capital,,,,Trade Street Capital Property Fund 1,Ryan Hanks,704-998-8646,"110,000,000","110,000,000","62,000,000",,,Office,Southwestern United States,1/11/12,2012,
Core,Trade Street Capital,,,,Trade Street Capital Property Fund 1,Ryan Hanks,704-998-8646,"110,000,000","110,000,000","62,000,000",12,0.12,"Office, Multifamily, Retail, Lodging","Europe, Asia, Latin America, South America",1/11/12,2012,
Core,Tristan Capital,,,,Curzon Capital Partners 3,Cameron Spry,44-203-463-8851,"546,000,000","546,000,000","382,000,000",11,0.11,"Office, Industrial, Retail, Multifamily",Europe,3/1/13,2013,EU
Core,Tristan Capital,,,,Curzon Capital Partners 3,Cameron Spry,44-203-463-8851,"559,062,000","559,062,000","223,069,605",11,0.11,Office,Europe,1/11/12,2012,
Core,Velocis Partners,,,,Velocis Fund,Fred Hamm,214-702-0221,"150,000,000","110,000,000","40,000,000",10,0.10,"Office, Medical Office, Retail",United States,3/1/13,2013,USD
Core,Velocis Partners,,,,Velocis Fund,Fred Hamm,214-702-0221,"150,000,000","41,200,000","15,200,000",10,0.10,Office,United States,1/11/12,2012,
Core,Western National Realty,,,,Western National Realty Fund 3,Steve Jasa,949-862-6291,"300,000,000",0,0,12+,0.12,Multifamily,California,3/1/13,2013,USD
Core,Advalurem Group,,,,Advalurem Group Middle Market Fund 1,Paul Sygrove,212-634-6890,"100,000,000",0,0,10-12,0.10,Office,United States,1/11/12,2012,
Core,Archstone,Archstone,http://live.dbpedia.org/resource/Archstone,http://live.dbpedia.org/data/Archstone.json,Archstone Multifamily Partners,R. Scot Sellers,303-708-5959,"500,000,000","300,000,000",0,11-13,0.11,Multifamily,"Eastern United States, Western United States, Washington D.C., Boston, New York City, Philadelphia, Los Angeles, San Francisco, Seattle, Portland, San Diego",1/11/12,2012,
Core,Cathedral Real Estate,,,,Cathedral Real Estate Opportunity Fund 1,Thomas Lorenz,877-469-1122,"100,000,000",0,0,8-12,0.08,"Office, Multifamily, Retail","Miami, New York City, Phoenix",1/11/12,2012,
Core,Colony Realty Partners,,,,Colony Realty Partners 4,Scott Freeman,617-235-6363,"500,000,000",0,0,10-13,0.10,Office,United States,1/11/12,2012,
Core,DivcoWest Properties,,,,Divcowest Fund 3,Stuart Schiff,415-284-5700,"400,000,000",,,10-13,0.10,Office,United States,1/11/12,2012,
Core,DivcoWest Properties,,,,Divcowest Fund 3,Stuart Schiff,415-284-5700,"471,000,000","471,000,000","60,000,000",10-13,0.10,"Office, Land",United States,1/11/12,2012,
Core,DivcoWest Properties,,,,Divcowest Fund 3,Stuart Schiff,415-284-5700,"400,000,000","400,000,000","60,000,000",10-13,0.10,Office,United States,1/11/12,2012,
Core,Henderson Global Investors,Henderson Global Investors,http://live.dbpedia.org/resource/Henderson_New_Star,http://live.dbpedia.org/data/Henderson_New_Star.json,Casa Partners 5,J.P. Rachmaninoff,312-397-1486,"400,000,000","105,000,000","25,000,000",11-13,0.11,Multifamily,United States,1/11/12,2012,
Core,Henderson Global Investors,Henderson Global Investors,http://live.dbpedia.org/resource/Henderson_New_Star,http://live.dbpedia.org/data/Henderson_New_Star.json,Casa Partners 5,J.P. Rachmaninoff,312-397-1486,"400,000,000","30,000,000",,11-13,0.11,Multifamily,United States,1/11/12,2012,
Core,PCG Equity,,,,PCG Net Lease Income Fund,Roy Epstein,212-750-0149,"500,000,000",,,10,0.10,"Office, Retail, Industrial",United States,1/11/12,2012,
Core,PRP Real Estate Investors,,,,U.S. Government Properties Income & Growth Fund,Bill Trimble,202-741-8400,"400,000,000","45,000,000","24,300,000",11,0.11,Office,United States,1/11/12,2012,
Core,Rockspring Property,,,,Rockspring TransEuropean Fund 5,Paul Hampton,44-207-761-3333,"698,827,500","170,401,777",0,11,0.11,Office,Europe,1/11/12,2012,
Core,Sarofim Realty,,,,Sarofim Multifamily Development Fund 2,Michael Doramus,214-692-4200,"60,000,000","60,000,000","37,000,000",12.5+,0.13,Senior Housing,Southwestern United States,1/11/12,2012,
Core,Sarofim Realty,,,,Sarofim Multifamily Development Fund 2,Michael Doramus,214-692-4200,"60,000,000","60,000,000","37,000,000",12.5+,0.13,Senior Housing,United States,1/11/12,2012,
Core,Thomas Properties Group,Thomas Properties Group,http://live.dbpedia.org/resource/Thomas_Properties_Group,http://live.dbpedia.org/data/Thomas_Properties_Group.json,Thomas High Performance Real Estate Fund,Steve Todd,213-830-2268,"180,000,000","180,000,000",,12+,0.12,Office,California,1/11/12,2012,
Core,Transwestern Investment,,,,Transwestern Multifamily Partners,Edward Ryder,312-499-1917,"227,000,000","227,000,000","103,000,000",12-13,0.12,Multifamily,United States,1/11/12,2012,
Core,Trecap Partners,,,,Trecap Fund 4 - Apartment Partners,Michael Mcnamara,917-301-8063,"300,000,000",,,12,0.12,Multifamily,United States,1/11/12,2012,
Core,USAA Real Estate,USAA Real Estate,http://live.dbpedia.org/resource/USAA_Real_Estate,http://live.dbpedia.org/data/USAA_Real_Estate.json,U.S. Core Plus Fund,Bruce Petersen,210-641-8409,"325,000,000",0,0,10-12,0.10,Office,United States,1/11/12,2012,
Core,USAA Real Estate,USAA Real Estate,http://live.dbpedia.org/resource/USAA_Real_Estate,http://live.dbpedia.org/data/USAA_Real_Estate.json,U.S. Core Plus Fund,Bruce Petersen,210-641-8408,"325,000,000",,,10-12,0.10,Office,Canada,1/11/12,2012,
Core,USAA Real Estate,USAA Real Estate,http://live.dbpedia.org/resource/USAA_Real_Estate,http://live.dbpedia.org/data/USAA_Real_Estate.json,U.S. Industrial REIT 3,Bruce Petersen,210-641-8408,"241,700,000","241,700,000","170,000,000",11-12,0.11,Industrial,United States,1/11/12,2012,
Core,Western National Realty,,,,Western National Realty Fund 3,Steve Jasa,949-862-6291,"300,000,000",0,0,12+,0.12,Multifamily,California,1/11/12,2012,
Core,Western National Realty,,,,Western National Realty Advisors Fund 2,Jerry Lapointe,949-862-6205,"227,000,000","227,000,000","71,000,000",12+,0.12,Multifamily,United States,1/11/12,2012,
Fund of Funds,Aberdeen Asset Management,Aberdeen Asset Management,http://live.dbpedia.org/resource/Aberdeen_Asset_Management,http://live.dbpedia.org/data/Aberdeen_Asset_Management.json,Aberdeen Asia 3 Property Fund of Funds,Roberto Varandas,44-207-463-6437,"600,000,000","472,000,000",0,13-17,0.13,"Office, Lodging, Industrial, Multifamily, Debt, Niche, Land",Asia,3/1/13,2013,USD
Fund of Funds,Aberdeen Asset Management,Aberdeen Asset Management,http://live.dbpedia.org/resource/Aberdeen_Asset_Management,http://live.dbpedia.org/data/Aberdeen_Asset_Management.json,Aberdeen Asia 3 Property Fund of Funds,Roberto Varandas,44-207-463-6437,"400,000,000",0,0,13-17,0.13,"Office, Retail",Asia,1/11/12,2012,
Fund of Funds,Aberdeen Asset Management,Aberdeen Asset Management,http://live.dbpedia.org/resource/Aberdeen_Asset_Management,http://live.dbpedia.org/data/Aberdeen_Asset_Management.json,Aberdeen European Opportunties Fund of Funds,Roberto Varandas,215-405-5759,"133,110,000","113,153,630",0,15,0.15,Office,Europe,1/11/12,2012,
Fund of Funds,Cohen & Steers Capital,,,,Cohen & Steers Global Realty Partners,"Stephen Coyle, Stephen Dunn",212-446-9187,"250,000,000","100,000,000",0,15,0.15,"Office, Lodging, Industrial, Multifamily, Debt, Niche, Land","United States, Canada, Europe",3/1/13,2013,USD
Fund of Funds,Cohen & Steers Capital,,,,Cohen & Steers Global Realty Partners,"Stephen Coyle, Stephen Dunn",212-446-9187,"250,000,000",,,15,0.15,"Office, Multifamily",Europe,1/11/12,2012,
Fund of Funds,Cohen & Steers Capital,,,,Cohen & Steers Global Realty Partners,"Stephen Coyle, Stephen Dunn",212-446-9187,"250,000,000","100,000,000",0,,,"Office, Retail","United States, Canada",1/11/12,2012,
Fund of Funds,Composition Capital,,,,Composition Capital Asia Fund 2,William Shaw,852-3-101-7681,"172,300,000","172,300,000","86,150,000",15,0.15,Office,United States,1/11/12,2012,
Fund of Funds,FLAG Capital,,,,FLAG Real Estate Partners Fund 3,Aliza Samuels,617-557-5717,"125,000,000",0,0,,0.00,"Office, Lodging, Industrial, Multifamily, Debt, Niche, Land",Global,3/1/13,2013,USD
Fund of Funds,Franklin Templeton Real Estate Investments,,,,Franklin Templeton Private Real Estate Fund,Marc Weidner,212-632-4206,"319,000,000","319,000,000","158,000,000",15,0.15,"Office, Lodging, Industrial, Multifamily, Debt, Niche, Land",Global,3/1/13,2013,USD
Fund of Funds,Franklin Templeton Real Estate Investments,,,,Franklin Templeton Real Estate Fund,Marc Weidner,212-632-4206,"300,000,000","250,000,000",,,,Office,United States,1/11/12,2012,
Fund of Funds,Franklin Templeton Real Estate Investments,,,,Franklin Templeton Real Estate Fund,Marc Weidner,212-632-4206,"300,000,000","70,000,000",,15,0.15,Office,Mountain States,1/11/12,2012,
Fund of Funds,Hawkeye Partners,,,,Hawkeye Partners Scout Fund 2,Claudia Faust,512-628-4000,"1,000,000,000",0,0,13-15,0.13,Seed Capital,United States,3/1/13,2013,USD
Fund of Funds,Hawkeye Partners,,,,Hawkeye Partners Scout Fund 2,Claudia Faust,512-628-4000,"1,000,000,000",,,13-15,0.13,Seed Capital,United States,1/11/11,2011,
Fund of Funds,Hawkeye Partners,,,,Hawkeye Partners Scout Fund 2,Claudia Faust,512-628-4000,"1,000,000,000",,,13-15,0.13,Seed Capital,United States,1/11/12,2012,
Fund of Funds,Investors Diversified Realty,,,,Investors Diversified Realty Fund,Gary Zdolshek,216-622-0004,"150,000,000","150,000,000","100,000,000",10-12,0.10,"Office, Lodging, Industrial, Multifamily, Debt, Niche, Land",United States,3/1/13,2013,USD
Fund of Funds,Investors Diversified Realty,,,,Investors Diversified Realty Fund,Gary Zdolshek,216-622-0004,"250,000,000","150,000,000","80,000,000",10-12,0.10,Office,United States,1/11/12,2012,
Fund of Funds,Investors Diversified Realty,,,,Investors Diversified Realty Fund,Gary Zdolshek,216-622-0004,"300,000,000","50,000,000",,10-12,0.10,"Office, Multifamily, Retail","United States, Canada, Mexico",1/11/12,2012,
Fund of Funds,LGT Clerestory,,,,Crown Small Cap Real Estate Fund 2,Joanne Douvas,212-584-2020,"400,000,000",0,0,18,0.18,"Office, Lodging, Industrial, Multifamily, Debt, Niche, Land","United States, Europe, Asia",3/1/13,2013,USD
Fund of Funds,Mesirow Financial,Mesirow Financial,http://live.dbpedia.org/resource/Mesirow_Financial,http://live.dbpedia.org/data/Mesirow_Financial.json,MFIRE Global Real Estate Investment Program Fund 2,Joshua Daitch,312-595-6062,"300,000,000","100,000,000","35,000,000",12,0.12,"Office, Lodging, Industrial, Multifamily, Debt, Niche, Land",Global,3/1/13,2013,USD
Fund of Funds,Mesirow Financial,Mesirow Financial,http://live.dbpedia.org/resource/Mesirow_Financial,http://live.dbpedia.org/data/Mesirow_Financial.json,MFIRE Domestic Partnership Fund 1,Joshua Daitch,312-595-6062,"70,400,000","70,400,000","12,500,000",11,0.11,"Office, Multifamily, Retail, Lodging, Self Storage, Land, Industrial, Distressed, Mezzanine Loans, Preferred Equity",United States,1/11/12,2012,
Fund of Funds,Mesirow Financial,Mesirow Financial,http://live.dbpedia.org/resource/Mesirow_Financial,http://live.dbpedia.org/data/Mesirow_Financial.json,MFIRE Global Real Estate Investment Program Fund 2,Joshua Daitch,312-595-6062,"300,000,000","100,000,000",0,12,0.12,"Office, Industrial",United States,1/11/12,2012,
Fund of Funds,Mesirow Financial,Mesirow Financial,http://live.dbpedia.org/resource/Mesirow_Financial,http://live.dbpedia.org/data/Mesirow_Financial.json,MFIRE Global Real Estate Investment Program Fund 2,Joshua Daitch,312-595-6062,"500,000,000",,,12,0.12,Office,United States,1/11/12,2012,
Fund of Funds,Mesirow Financial,Mesirow Financial,http://live.dbpedia.org/resource/Mesirow_Financial,http://live.dbpedia.org/data/Mesirow_Financial.json,MFIRE Global Real Estate Investment Program Fund 1,Joshua Daitch,312-595-6062,"226,200,000","226,200,000","155,000,000",12,0.12,Office,United States,1/11/12,2012,
Fund of Funds,Metropolitan Real Estate Equity,,,,Metropolitan Real Estate Partners 8,Jeff Gardner,212-812-4945,"129,000,000","129,000,000",0,13-15,0.13,"Office, Lodging, Industrial, Multifamily, Debt, Niche, Land",United States,3/1/13,2013,USD
Fund of Funds,Metropolitan Real Estate Equity,,,,Metropolitan Real Estate Partners 8,Jeff Gardner,212-812-4945,"129,000,000","129,000,000",,13-15,0.13,Office,United States,1/11/12,2012,
Fund of Funds,Metropolitan Real Estate Equity,,,,Metropolitan Real Estate Partners 9,Jeff Gardner,212-812-4945,"150,000,000",0,0,13-15,0.13,"Office, Lodging, Industrial, Multifamily, Debt, Niche, Land",United States,3/1/13,2013,USD
Fund of Funds,Metropolitan Real Estate Equity,,,,Metropolitan Real Estate Partners Global 5,Jeff Gardner,212-812-4945,"72,000,000","72,000,000",0,13-15,0.13,"Office, Lodging, Industrial, Multifamily, Debt, Niche, Land","United States, Europe, Asia",3/1/13,2013,USD
Fund of Funds,Metropolitan Real Estate Equity,,,,Metropolitan Real Estate Partners Global 5,Jeff Gardner,212-812-4945,"72,000,000","72,000,000",,13-15,0.13,Office,United States,1/11/12,2012,
Fund of Funds,Metropolitan Real Estate Equity,,,,Metropolitan Real Estate Partners Global 6,Jeff Gardner,212-812-4945,"200,000,000",0,0,13-15,0.13,"Office, Lodging, Industrial, Multifamily, Debt, Niche, Land","United States, Europe, Asia",3/1/13,2013,USD
Fund of Funds,Metropolitan Real Estate Equity,,,,Metropolitan Real Estate Partners International 4,Jeff Gardner,212-812-4945,"156,000,000","156,000,000",0,13-15,0.13,"Office, Lodging, Industrial, Multifamily, Debt, Niche, Land","Europe, Asia",3/1/13,2013,USD
Fund of Funds,Metropolitan Real Estate Equity,,,,Metropolitan Real Estate Partners International 5,Jeff Gardner,212-812-4945,"150,000,000",0,0,13-15,0.13,"Office, Lodging, Industrial, Multifamily, Debt, Niche, Land","Global, Non United States",3/1/13,2013,USD
Fund of Funds,Metropolitan Real Estate Equity,,,,Metropolitan Real Estate Partners 7,Jeff Gardner,212-812-4945,"200,000,000","54,000,000",,13-15,0.13,Office,United States,1/11/11,2011,
Fund of Funds,Metropolitan Real Estate Equity,,,,Metropolitan Real Estate Partners 7,Jeff Gardner,212-812-4945,"292,000,000","292,000,000",0,13-15,0.13,Office,United States,1/11/12,2012,
Fund of Funds,Metropolitan Real Estate Equity,,,,Metropolitan Real Estate Partners Distressed Strategies Fund 2,Jeff Gardner,212-812-4945,"150,000,000","20,000,000",,13-15,0.13,Office,United States,1/11/11,2011,
